Vertex,Principal_1,Principal_2,Mean,Gaussian
0,0.007208815733981853,-0.0033597841228894,0.0019245158055462264,-2.422006464786752e-05
1,0.01063479347112822,-0.002746880633969111,0.003943956418579555,-2.9212508232103257e-05
2,0.0073154780564592,-0.003573580214227863,0.0018709489211156684,-2.61424476401807e-05
3,0.010380833996147962,-0.0025212946987717855,0.003929769648688088,-2.617314172331779e-05
4,0.007082214229638,-0.003154014430980074,0.0019640998993289633,-2.2337405883570677e-05
5,0.14392851220618827,0.14392851220618827,0.14392851220618827,0.05168585342421739
6,0.14370811189513788,0.14370811189513788,0.14370811189513788,0.044416737302505296
7,0.0054959441988160235,-0.003519695921512767,0.000988124138651628,-1.9344052381434507e-05
8,0.1436323791839098,0.1436323791839098,0.1436323791839098,0.03994736340969221
9,0.004640327303313288,-0.0037975044686467648,0.00042141141733326165,-1.7621663670315803e-05
10,0.1436277486746051,0.1436277486746051,0.1436277486746051,0.03754431731372738
11,0.0041291695100939,-0.00406931252344497,2.9928493324464777e-05,-1.680288119885224e-05
12,0.14690860002588024,0.14690860002588024,0.14690860002588024,0.037650566990855505
13,0.14362774873997095,0.14362774873997095,0.14362774873997095,0.03754430792164919
14,0.00464024963641843,-0.0037976513818247853,0.0004212991272968226,-1.762205044375641e-05
15,0.004243884111785379,-0.004180685371566696,3.159937010934193e-05,-1.7742344224765453e-05
16,0.004741798083137964,-0.003931857910891217,0.00040497008612337297,-1.8644076305034814e-05
17,0.005597826979908889,-0.003685149752467996,0.0009563386137204465,-2.062883070936991e-05
18,0.0056905013262104395,-0.0038510307808733457,0.0009197352726685467,-2.1914295765836997e-05
19,0.005768416781453506,-0.004024074617576862,0.000872171081938322,-2.3212539553851468e-05
20,0.0073963524214470154,-0.0038034772678325135,0.0017964375768072507,-2.8131858299851692e-05
21,0.010843710987980225,-0.003001279772335378,0.003921215607822424,-3.2545010445275925e-05
22,0.018884438356078843,-0.0016987646636725806,0.008592836846203131,-3.208021657260987e-05
23,0.017929930330453772,-0.0015202089175900494,0.00820486070643186,-2.7257239980124104e-05
24,0.1444677745809755,0.1444677745809755,0.1444677745809755,0.06250911124819811
25,0.1474337977394276,0.1474337977394276,0.1474337977394276,0.0975893276441177
26,0.030529940798112484,-0.0007439855881026594,0.014892977605004912,-2.271383595942315e-05
27,0.033756859547891364,-0.000839864367190038,0.016458497590350663,-2.835118348251281e-05
28,0.019792552502682657,-0.0019096491108979898,0.008941451695892333,-3.779683028914972e-05
29,0.010996499884511686,-0.0032849651328532583,0.003855767375829214,-3.612311870404577e-05
30,0.020609566497591547,-0.002160224002138148,0.009224671247726699,-4.45212802217595e-05
31,0.037350774575720405,-0.0009565223155562352,0.018197126130082085,-3.5726849384987146e-05
32,0.05235378445624787,-0.00020411998003801515,0.026074832238104927,-1.0686453438123889e-05
33,0.06140309687352158,-0.00023838486778201065,0.030582356002869786,-1.4637569129600558e-05
34,0.04130514023891012,-0.001095076398111721,0.020105031920399197,-4.523228419632512e-05
35,0.021277494935172468,-0.002463984998607874,0.009406754968282298,-5.242742832821998e-05
36,0.011081351026818183,-0.003603494769633603,0.0037389281285922903,-3.993159046561329e-05
37,0.0074487733242748835,-0.004046887704815998,0.0017009428097294428,-3.0144349181969412e-05
38,0.00583237591771123,-0.004198348716817413,0.0008170136004469082,-2.4486347950119728e-05
39,0.005005380730756733,-0.004323386035579961,0.00034099734758838597,-2.164019315411468e-05
40,0.004926155926388048,-0.004194423012056013,0.00036586645716601724,-2.0662381778618135e-05
41,0.004837971673409105,-0.004064228212355939,0.00038687173052658346,-1.966262096564816e-05
42,0.004356105127653802,-0.004289551316847203,3.3276905403299695e-05,-1.8685736486652224e-05
43,0.004741847664111632,-0.003931745048965429,0.00040505130757310145,-1.86437360763192e-05
44,0.005495671533990476,-0.0035194088435031926,0.0009881313452436418,-1.9341514997714833e-05
45,0.14363249411200799,0.14363249411200799,0.14363249411200799,0.03994745202874457
46,0.14370912589843354,0.14370912589843354,0.14370912589843354,0.04441701920739742
47,0.007082079681580559,-0.0031556889859035778,0.0019631953478384907,-2.2348840848455286e-05
48,0.005597815525751204,-0.0036851560232337914,0.0009563297512587064,-2.0628823601673684e-05
49,0.004837968182446537,-0.004064237740631773,0.00038686522090738165,-1.966265287507492e-05
50,0.004463934276229279,-0.004394074926862126,3.492967468357716e-05,-1.961486167833951e-05
51,0.004566394741006041,-0.004493321889807115,3.653642559946306e-05,-2.0518281447262532e-05
52,0.0046626306751179625,-0.004586476565912486,3.80770546027378e-05,-2.1385046326933246e-05
53,0.0050752850124189935,-0.004447973319813612,0.00031365584630269066,-2.2574732325689576e-05
54,0.005882139441590576,-0.004371016778569105,0.0007555613315107356,-2.5710930193075516e-05
55,0.007473185992959287,-0.004296885487339692,0.0015881502528097974,-3.2111424437337034e-05
56,0.011089956952467794,-0.00395721821300139,0.0035663693697332013,-4.3885379633706935e-05
57,0.021727310579715095,-0.0028348362751240714,0.009446237152295513,-6.159336819226339e-05
58,0.045561671991950645,-0.0012655359394319853,0.022148068026259328,-5.765993336642518e-05
59,0.07284350485586459,-0.0002832623800548828,0.036280121237904854,-2.063382455701177e-05
60,0.07664188485055332,-6.016472075037749e-05,0.03829086006490147,-4.611137599816146e-06
61,0.0934520301930542,-7.387897952932515e-05,0.046689075606762435,-6.904140625606558e-06
62,0.08724345879044659,-0.000340158675805953,0.043451650057320323,-2.9676619414889614e-05
63,0.04995277167495428,-0.0014780103815350935,0.02423738064670959,-7.383071512203444e-05
64,0.02188063842385827,-0.003291308334739758,0.009294665044559256,-7.201592761387174e-05
65,0.011013236866233522,-0.004349669272747963,0.00333178379674278,-4.790393799055102e-05
66,0.007463126246545399,-0.004561173008888966,0.0014509766188282168,-3.404060999767369e-05
67,0.005912255409757662,-0.004547127160228091,0.0006825641247647856,-2.6883777151914528e-05
68,0.005133459263100789,-0.004567536044547708,0.00028296160927654044,-2.344726021743017e-05
69,0.004751241308235507,-0.004672193236742569,3.9524035746468776e-05,-2.2198717506469857e-05
70,0.005074999232059502,-0.004447684247892013,0.00031365749208374415,-2.2571994142495113e-05
71,0.005005564347590537,-0.00432376831463911,0.00034089801647571344,-2.164290052299915e-05
72,0.004926154452168854,-0.004194431534209553,0.0003658614589796509,-2.066241757656382e-05
73,0.005690489571230491,-0.0038510375046432394,0.0009197260332936257,-2.1914288758589848e-05
74,0.0072085679948121015,-0.0033595157614161333,0.0019245261166979844,-2.4217297795811145e-05
75,0.010381149088534162,-0.002518276779820105,0.003931436154357028,-2.6142606697506224e-05
76,0.14392767746802088,0.14392767746802088,0.14392767746802088,0.05168560718070587
77,0.14446855475733275,0.14446855475733275,0.14446855475733275,0.06250933460432251
78,0.017929833477075805,-0.0015215531170206659,0.00820414018002757,-2.728119401470618e-05
79,0.14743432166811024,0.14743432166811024,0.14743432166811024,0.09758947343358931
80,0.030529940798112117,-0.0007439855881022205,0.014892977605004949,-2.271383595940949e-05
81,0.037555198231261216,-0.00020115884859917693,0.01867701969133102,-7.554560435114328e-06
82,0.2891369655206477,0.2891369655206477,0.2891369655206477,0.3192600269633156
83,0.16282395620526083,0.16282395620526083,0.16282395620526083,0.18274001527304368
84,0.04576662596445333,-3.59375435292561e-05,0.022865344210462036,-1.6447401127847268e-06
85,0.03755514377936025,-0.00020189207149737265,0.018676625853931438,-7.582085772996809e-06
86,0.28913489369140094,0.28913489369140094,0.28913489369140094,0.3192602905202993
87,0.1474337840369093,0.1474337840369093,0.1474337840369093,0.09758901430333566
88,0.03052994079811256,-0.0007439855881026594,0.01489297760500495,-2.271383595942315e-05
89,0.01792983347707581,-0.0015215531170206659,0.008204140180027571,-2.728119401470618e-05
90,0.14446855475733272,0.14446855475733272,0.14446855475733272,0.06250933460432251
91,0.010381149088534158,-0.002518276779820105,0.003931436154357027,-2.6142606697506224e-05
92,0.14392767746802088,0.14392767746802088,0.14392767746802088,0.05168560718070587
93,0.007081798084481671,-0.0031554304131285,0.0019631838356765855,-2.234612105540862e-05
94,0.007208707497779337,-0.0033598423641143134,0.0019244325668325115,-2.4220120841547508e-05
95,0.010634671509223394,-0.0027489572049945307,0.003942857152114431,-2.9234256868029714e-05
96,0.018884454920520374,-0.0016999039270806753,0.00859227549671985,-3.210175908017056e-05
97,0.03375633129634456,-0.0008404642365585149,0.016457933529893023,-2.8370989211998635e-05
98,0.0451031504909839,-0.00017591502829161082,0.022463617731346145,-7.93432199466225e-06
99,0.05358731799254862,-4.2060796465615696e-05,0.0267726285980415,-2.2539252752228476e-06
100,0.04510317043796718,-0.00017592751585569777,0.022463621461055742,-7.934888732367659e-06
101,0.033756618846225425,-0.0008399270307012582,0.016458345907762083,-2.835309663402428e-05
102,0.01888443835607824,-0.0016987646636721556,0.008592836846203043,-3.208021657260081e-05
103,0.010634711706691228,-0.0027482680232781987,0.003943221841706515,-2.922703812028182e-05
104,0.007315478056457339,-0.003573580214226161,0.0018709489211155889,-2.61424476401616e-05
105,0.005767953046172722,-0.0040254009957400175,0.000871276025216352,-2.321832393544534e-05
106,0.0058335198269595665,-0.00419551551166096,0.0008190021576493031,-2.4474622921590618e-05
107,0.005881657629025691,-0.0043723776418862804,0.0007546399935697054,-2.5716828314381805e-05
108,0.005133462334420066,-0.004567542385344485,0.0002829599745377908,-2.3447306796033098e-05
109,0.004831258008781413,-0.00474955321524856,4.085239676642642e-05,-2.2946317009303116e-05
110,0.005180188891049515,-0.004681289824016257,0.0002494495335166293,-2.4249965542152153e-05
